# 22.841000008728372 2.6531692974699895e-09 
# bl	dbl	scA	dscA
1.161511730769230724e+02 1.399476854391065728e-01 1.048961693014668839e+01 1.899929153016219452e+00
1.165037692307692367e+02 6.574736478621268088e-02 4.625115553741983021e+00 1.922839082155280765e+00
1.166097307692307368e+02 9.860791403363091887e-03 3.454249274116168333e+00 2.153646245563711314e+00
1.164752884615384687e+02 7.457516511198114539e-02 5.053112233685698840e+00 2.547224067573479633e+00
1.160958269230769275e+02 1.488380923577245496e-01 1.067467300844088918e+01 2.572397192478483419e+00
9.306290806754221023e+01 3.646933069228972535e+00 4.739289512613571453e+00 1.696501912180724325e+00
9.934962476547842414e+01 1.246842860984112011e+00 8.140019053944017813e+00 1.812549179844400893e+00
1.033506191369606029e+02 1.064774633453734465e+00 6.829580122128653841e+00 1.772743930378907873e+00
1.067281988742964387e+02 8.884734794443955863e-01 1.120763326950208771e+01 1.890352745875698792e+00
1.095758724202626553e+02 7.168758037884727097e-01 7.544975382612576276e+00 1.711311529735834558e+00
1.117860037523452093e+02 5.623489799230014796e-01 6.124150872962346170e+00 1.861644595130583557e+00
1.134932082551594590e+02 4.279959273790494567e-01 7.972117127624830601e+00 1.830858256464247935e+00
1.147668480300187781e+02 3.108497845220346556e-01 6.053467830801954719e+00 1.851036039588392468e+00
1.156667542213883735e+02 2.114928835220976078e-01 1.017501365951082448e+01 1.779569138323806587e+00
1.162479549718574106e+02 1.268323184241953727e-01 1.395126485163377872e+01 1.955114480494976936e+00
1.165508818011257119e+02 4.996970101616788479e-02 5.332667889124227401e+00 2.014984605718056265e+00
1.165969418386491441e+02 2.552691244370059592e-02 5.611947930136208740e+00 2.079989809924510880e+00
1.163897373358348943e+02 9.750704238786389588e-02 3.138357605730764721e+00 2.457642906446184661e+00
1.159177673545966201e+02 1.787839008746342773e-01 1.308705050118496516e+01 2.703750004265464302e+00
1.151403189493433388e+02 2.723397536594435731e-01 1.050342892071890510e+01 2.967482077911351102e+00
8.037073913043477091e+01 5.295432352651886276e+00 1.838162978123460789e+01 2.075732028203545187e+00
8.789808695652175174e+01 1.416346430019811864e+00 1.550218196733418097e+01 1.930954439296135750e+00
9.259219565217392756e+01 1.294163891905320662e+00 9.822680902022222327e+00 1.925053663858291353e+00
9.685349999999999682e+01 1.167615616656813682e+00 5.427506916609815768e+00 1.768603570579506234e+00
5.429999999999999716e+00 2.500000000000000000e+00 2.732285684411258231e+01 1.257307295912551837e+01
