# 32.72333533810898 2.3698943487184058e-09 
# bl	dbl	scA	dscA
5.972255610972568007e+01 1.055608388241762974e+01 2.860249548302381939e+01 2.706240028866854885e+00
9.129080423940150979e+01 7.538763759167720124e+00 1.373150757580907388e+01 2.068575670933212152e+00
1.111369451371570847e+02 3.958640682651897169e+00 1.151547472184087439e+01 1.986534391828681079e+00
1.192738216957605744e+02 9.667952539036844817e-01 1.376739722028301571e+01 1.817251152882980225e+00
8.934562709030099370e+01 5.833817198176596719e+00 1.714526246147222110e+01 2.301468125557720956e+00
1.060891137123745693e+02 3.834841968956324898e+00 1.112414627602796102e+01 2.116740662845738363e+00
1.159512625418060168e+02 1.916615910870224315e+00 1.091984020266605881e+01 2.159368900414005310e+00
1.198211705685618682e+02 4.384931262203390911e-01 1.094155104584177707e+01 2.117011459588305389e+00
7.815678391959799853e+01 7.878750059926444393e+00 1.950626579769614111e+01 2.634204840095140554e+00
1.010074300071787547e+02 5.280801362390049825e+00 1.948014617552301075e+01 2.182276367982248555e+00
1.145710839913854926e+02 2.616255312765614960e+00 2.158376978025391324e+01 2.202804781916859689e+00
1.197389375448671842e+02 5.473615022905869987e-01 1.306724766414678740e+01 2.060912215074559128e+00
5.429999999999999716e+00 2.500000000000000000e+00 4.001398999834127324e+01 1.818898627191942907e+01
