# realtime, hour, min, alt, baseline, rate, SC
44666.222222222 17 20 31.40 68.62 667.45 0.48
44666.222916667 17 21 31.51 68.80 668.42 0.48
44666.223611111 17 22 31.62 68.98 669.39 0.48
44666.224305556 17 23 31.73 69.17 670.36 0.48
44666.225000000 17 24 31.84 69.35 671.32 0.48
44666.225694445 17 25 31.95 69.54 672.29 0.47
44666.226388889 17 26 32.06 69.72 673.33 0.47
44666.227083333 17 27 32.17 69.90 674.41 0.47
44666.227777778 17 28 32.28 70.09 675.50 0.47
44666.228472222 17 29 32.39 70.27 676.58 0.47
44666.229166667 17 30 32.50 70.45 677.66 0.46
44666.229861111 17 31 32.61 70.64 678.74 0.46
44666.230555556 17 32 32.72 70.82 679.82 0.46
44666.231250000 17 33 32.83 71.01 680.90 0.46
44666.231944445 17 34 32.94 71.19 681.98 0.46
44666.232638889 17 35 33.05 71.37 682.95 0.45
44666.233333333 17 36 33.16 71.56 683.79 0.45
44666.234027778 17 37 33.27 71.74 684.63 0.45
44666.234722222 17 38 33.37 71.92 685.46 0.45
44666.235416667 17 39 33.48 72.11 686.29 0.45
44666.236111111 17 40 33.59 72.29 687.13 0.45
44666.236805556 17 41 33.70 72.47 687.96 0.44
44666.237500000 17 42 33.81 72.66 688.79 0.44
44666.238194445 17 43 33.92 72.84 689.62 0.44
44666.238888889 17 44 34.02 73.02 690.48 0.44
44666.239583333 17 45 34.13 73.21 691.42 0.44
44666.240277778 17 46 34.24 73.39 692.37 0.43
44666.240972222 17 47 34.35 73.57 693.31 0.43
44666.241666667 17 48 34.45 73.76 694.26 0.43
44666.242361111 17 49 34.56 73.94 695.20 0.43
44666.243055556 17 50 34.67 74.12 696.14 0.43
44666.243750000 17 51 34.78 74.30 697.08 0.42
44666.244444445 17 52 34.88 74.49 698.01 0.42
44666.245138889 17 53 34.99 74.67 698.95 0.42
44666.245833333 17 54 35.10 74.85 699.78 0.42
44666.246527778 17 55 35.20 75.03 700.59 0.42
44666.247222222 17 56 35.31 75.21 701.41 0.41
44666.247916667 17 57 35.41 75.40 702.22 0.41
44666.248611111 17 58 35.52 75.58 703.04 0.41
44666.249305556 17 59 35.63 75.76 703.85 0.41
44666.250000000 18 00 35.73 75.94 704.66 0.41
44666.250694445 18 01 35.84 76.12 705.47 0.40
44666.251388889 18 02 35.94 76.30 706.28 0.40
44666.252083333 18 03 36.05 76.48 707.03 0.40
44666.252777778 18 04 36.15 76.66 707.72 0.40
44666.253472222 18 05 36.26 76.84 708.41 0.40
44666.254166667 18 06 36.36 77.02 709.10 0.40
44666.254861111 18 07 36.46 77.20 709.78 0.39
44666.255555556 18 08 36.57 77.38 710.47 0.39
44666.256250000 18 09 36.67 77.56 711.15 0.39
44666.256944445 18 10 36.78 77.74 711.83 0.39
44666.257638889 18 11 36.88 77.92 712.52 0.39
44666.258333333 18 12 36.98 78.10 713.20 0.38
44666.259027778 18 13 37.09 78.28 713.97 0.38
44666.259722222 18 14 37.19 78.45 714.76 0.38
44666.260416667 18 15 37.29 78.63 715.55 0.38
44666.261111111 18 16 37.39 78.81 716.33 0.38
44666.261805556 18 17 37.50 78.99 717.12 0.37
44666.262500000 18 18 37.60 79.16 717.90 0.37
44666.263194445 18 19 37.70 79.34 718.69 0.37
44666.263888889 18 20 37.80 79.52 719.47 0.37
44666.264583334 18 21 37.90 79.69 720.24 0.37
44666.265277778 18 22 38.00 79.87 721.02 0.37
44666.265972222 18 23 38.10 80.05 721.68 0.36
44666.266666667 18 24 38.21 80.22 722.34 0.36
44666.267361111 18 25 38.31 80.40 723.01 0.36
44666.268055556 18 26 38.41 80.57 723.66 0.36
44666.268750000 18 27 38.51 80.75 724.32 0.36
44666.269444445 18 28 38.61 80.92 724.98 0.36
44666.270138889 18 29 38.71 81.10 725.64 0.35
44666.270833334 18 30 38.80 81.27 726.29 0.35
44666.271527778 18 31 38.90 81.44 726.94 0.35
44666.272222222 18 32 39.00 81.62 727.59 0.35
44666.272916667 18 33 39.10 81.79 728.13 0.35
44666.273611111 18 34 39.20 81.96 728.67 0.34
44666.274305556 18 35 39.30 82.13 729.21 0.34
44666.275000000 18 36 39.39 82.31 729.74 0.34
44666.275694445 18 37 39.49 82.48 730.28 0.34
44666.276388889 18 38 39.59 82.65 730.81 0.34
44666.277083334 18 39 39.69 82.82 731.34 0.34
