# realtime, hour, min, alt, baseline, rate, SC
44668.419444445 22 04 10.06 46.93 102.85 0.81
44668.420138890 22 05 10.27 47.24 105.90 0.80
44668.420833334 22 06 10.48 47.55 108.94 0.80
44668.421527778 22 07 10.69 47.86 111.99 0.80
44668.422222223 22 08 10.90 48.18 115.04 0.80
44668.422916667 22 09 11.11 48.49 118.04 0.79
44668.423611112 22 10 11.32 48.80 121.00 0.79
44668.424305556 22 11 11.53 49.12 123.96 0.79
44668.425000001 22 12 11.74 49.43 126.92 0.79
44668.425694445 22 13 11.95 49.75 129.89 0.78
44668.426388890 22 14 12.16 50.07 132.63 0.78
44668.427083334 22 15 12.38 50.38 135.31 0.78
44668.427777778 22 16 12.59 50.70 137.99 0.78
44668.428472223 22 17 12.80 51.02 140.67 0.77
44668.429166667 22 18 13.01 51.34 143.35 0.77
44668.429861112 22 19 13.22 51.66 145.94 0.77
44668.430555556 22 20 13.43 51.98 148.54 0.77
44668.431250001 22 21 13.64 52.30 151.13 0.76
44668.431944445 22 22 13.86 52.63 153.72 0.76
44668.432638890 22 23 14.07 52.95 156.26 0.76
44668.433333334 22 24 14.28 53.27 158.66 0.76
44668.434027779 22 25 14.49 53.59 161.07 0.75
44668.434722223 22 26 14.71 53.92 163.48 0.75
44668.435416667 22 27 14.92 54.24 165.89 0.75
44668.436111112 22 28 15.13 54.57 168.18 0.75
44668.436805556 22 29 15.34 54.89 170.40 0.74
44668.437500001 22 30 15.56 55.21 172.62 0.74
44668.438194445 22 31 15.77 55.54 174.84 0.74
44668.438888890 22 32 15.98 55.86 177.06 0.73
44668.439583334 22 33 16.20 56.19 179.11 0.73
44668.440277779 22 34 16.41 56.52 181.14 0.73
44668.440972223 22 35 16.62 56.84 183.17 0.73
44668.441666667 22 36 16.84 57.17 185.20 0.72
44668.442361112 22 37 17.05 57.49 187.24 0.72
44668.443055556 22 38 17.27 57.82 189.28 0.72
44668.443750001 22 39 17.48 58.14 191.31 0.72
44668.444444445 22 40 17.69 58.47 193.35 0.71
44668.445138890 22 41 17.91 58.80 195.39 0.71
44668.445833334 22 42 18.12 59.12 197.26 0.71
44668.446527779 22 43 18.34 59.45 199.01 0.70
44668.447222223 22 44 18.55 59.78 200.76 0.70
44668.447916667 22 45 18.77 60.10 202.51 0.70
44668.448611112 22 46 18.98 60.43 204.26 0.70
44668.449305556 22 47 19.19 60.75 206.02 0.69
44668.450000001 22 48 19.41 61.08 207.77 0.69
44668.450694445 22 49 19.62 61.40 209.52 0.69
44668.451388890 22 50 19.84 61.73 211.28 0.68
44668.452083334 22 51 20.06 62.06 212.99 0.68
44668.452777779 22 52 20.27 62.38 214.55 0.68
44668.453472223 22 53 20.49 62.71 216.11 0.68
44668.454166667 22 54 20.70 63.03 217.67 0.67
44668.454861112 22 55 20.92 63.36 219.24 0.67
44668.455555556 22 56 21.13 63.68 220.80 0.67
44668.456250001 22 57 21.35 64.01 222.37 0.67
44668.456944445 22 58 21.56 64.33 223.93 0.66
44668.457638890 22 59 21.78 64.65 225.50 0.66
44668.458333334 23 00 22.00 64.98 227.06 0.66
44668.459027779 23 01 22.21 65.30 228.44 0.65
44668.459722223 23 02 22.43 65.62 229.81 0.65
44668.460416667 23 03 22.65 65.95 231.19 0.65
44668.461111112 23 04 22.86 66.27 232.56 0.65
44668.461805556 23 05 23.08 66.59 233.93 0.64
44668.462500001 23 06 23.29 66.91 235.31 0.64
44668.463194445 23 07 23.51 67.23 236.68 0.64
44668.463888890 23 08 23.73 67.55 238.06 0.63
44668.464583334 23 09 23.95 67.87 239.43 0.63
44668.465277779 23 10 24.16 68.19 240.74 0.63
44668.465972223 23 11 24.38 68.51 242.02 0.63
44668.466666668 23 12 24.60 68.83 243.30 0.62
44668.467361112 23 13 24.81 69.15 244.58 0.62
44668.468055556 23 14 25.03 69.47 245.84 0.62
44668.468750001 23 15 25.25 69.79 247.03 0.61
44668.469444445 23 16 25.47 70.10 248.21 0.61
44668.470138890 23 17 25.68 70.42 249.39 0.61
44668.470833334 23 18 25.90 70.74 250.58 0.61
44668.471527779 23 19 26.12 71.05 251.71 0.60
44668.472222223 23 20 26.34 71.37 252.79 0.60
44668.472916668 23 21 26.55 71.68 253.88 0.60
44668.473611112 23 22 26.77 72.00 254.97 0.59
44668.474305556 23 23 26.99 72.31 256.05 0.59
44668.475000001 23 24 27.21 72.62 257.14 0.59
44668.475694445 23 25 27.43 72.94 258.23 0.59
44668.476388890 23 26 27.65 73.25 259.32 0.58
44668.477083334 23 27 27.86 73.56 260.41 0.58
44668.477777779 23 28 28.08 73.87 261.46 0.58
44668.478472223 23 29 28.30 74.18 262.45 0.57
44668.479166668 23 30 28.52 74.49 263.44 0.57
44668.479861112 23 31 28.74 74.80 264.43 0.57
44668.480555556 23 32 28.96 75.11 265.42 0.57
44668.481250001 23 33 29.18 75.42 266.41 0.56
44668.481944445 23 34 29.39 75.72 267.41 0.56
44668.482638890 23 35 29.61 76.03 268.40 0.56
44668.483333334 23 36 29.83 76.33 269.39 0.55
44668.484027779 23 37 30.05 76.64 270.36 0.55
44668.484722223 23 38 30.27 76.94 271.26 0.55
44668.485416668 23 39 30.49 77.25 272.15 0.55
44668.486111112 23 40 30.71 77.55 273.05 0.54
44668.486805556 23 41 30.93 77.85 273.94 0.54
44668.487500001 23 42 31.15 78.15 274.77 0.54
44668.488194445 23 43 31.37 78.45 275.56 0.54
44668.488888890 23 44 31.59 78.75 276.36 0.53
44668.489583334 23 45 31.81 79.05 277.16 0.53
44668.490277779 23 46 32.03 79.35 277.97 0.53
44668.490972223 23 47 32.25 79.65 278.86 0.52
44668.491666668 23 48 32.47 79.94 279.76 0.52
44668.492361112 23 49 32.69 80.24 280.66 0.52
44668.493055556 23 50 32.91 80.54 281.56 0.52
44668.493750001 23 51 33.13 80.83 282.34 0.51
44668.494444445 23 52 33.35 81.12 283.04 0.51
44668.495138890 23 53 33.57 81.42 283.74 0.51
44668.495833334 23 54 33.79 81.71 284.43 0.51
44668.496527779 23 55 34.01 82.00 285.14 0.50
44668.497222223 23 56 34.23 82.29 285.94 0.50
44668.497916668 23 57 34.45 82.58 286.74 0.50
44668.498611112 23 58 34.67 82.87 287.54 0.50
44668.499305557 23 59 34.89 83.15 288.34 0.49
44668.500000001 00 00 35.11 83.44 289.09 0.49
44668.500694445 00 01 35.33 83.73 289.79 0.49
44668.501388890 00 02 35.55 84.01 290.49 0.49
44668.502083334 00 03 35.77 84.30 291.19 0.48
44668.502777779 00 04 35.99 84.58 291.89 0.48
44668.503472223 00 05 36.21 84.86 292.49 0.48
44668.504166668 00 06 36.43 85.14 293.09 0.48
44668.504861112 00 07 36.66 85.43 293.69 0.47
44668.505555557 00 08 36.88 85.70 294.30 0.47
