# realtime, hour, min, alt, baseline, rate, SC
44670.343750000 20 15 10.05 27.76 185.24 0.96
44670.344444445 20 16 10.24 28.14 190.10 0.96
44670.345138889 20 17 10.42 28.52 194.97 0.96
44670.345833334 20 18 10.61 28.90 199.84 0.95
44670.346527778 20 19 10.80 29.28 204.71 0.95
44670.347222223 20 20 10.98 29.66 209.59 0.95
44670.347916667 20 21 11.17 30.04 214.33 0.95
44670.348611112 20 22 11.36 30.42 219.07 0.95
44670.349305556 20 23 11.54 30.80 223.81 0.95
44670.350000000 20 24 11.73 31.18 228.55 0.95
44670.350694445 20 25 11.92 31.56 233.30 0.95
44670.351388889 20 26 12.11 31.94 237.79 0.94
44670.352083334 20 27 12.29 32.32 242.09 0.94
44670.352777778 20 28 12.48 32.70 246.39 0.94
44670.353472223 20 29 12.67 33.08 250.69 0.94
44670.354166667 20 30 12.86 33.46 254.99 0.94
44670.354861112 20 31 13.05 33.84 259.27 0.94
44670.355555556 20 32 13.23 34.22 263.43 0.94
44670.356250000 20 33 13.42 34.60 267.59 0.94
44670.356944445 20 34 13.61 34.98 271.76 0.93
44670.357638889 20 35 13.80 35.36 275.93 0.93
44670.358333334 20 36 13.99 35.74 280.10 0.93
44670.359027778 20 37 14.18 36.11 283.98 0.93
44670.359722223 20 38 14.37 36.49 287.85 0.93
44670.360416667 20 39 14.56 36.87 291.73 0.93
44670.361111112 20 40 14.75 37.25 295.60 0.93
44670.361805556 20 41 14.94 37.62 299.48 0.92
44670.362500001 20 42 15.13 38.00 303.16 0.92
44670.363194445 20 43 15.32 38.38 306.73 0.92
44670.363888889 20 44 15.51 38.75 310.31 0.92
44670.364583334 20 45 15.70 39.13 313.89 0.92
44670.365277778 20 46 15.89 39.50 317.47 0.92
44670.365972223 20 47 16.08 39.88 320.93 0.91
44670.366666667 20 48 16.27 40.25 324.20 0.91
44670.367361112 20 49 16.46 40.63 327.48 0.91
44670.368055556 20 50 16.65 41.00 330.76 0.91
44670.368750001 20 51 16.84 41.38 334.04 0.91
44670.369444445 20 52 17.04 41.75 337.33 0.91
44670.370138889 20 53 17.23 42.12 340.62 0.91
44670.370833334 20 54 17.42 42.49 343.91 0.90
44670.371527778 20 55 17.61 42.87 347.20 0.90
44670.372222223 20 56 17.80 43.24 350.49 0.90
44670.372916667 20 57 18.00 43.61 353.79 0.90
44670.373611112 20 58 18.19 43.98 356.63 0.90
44670.374305556 20 59 18.38 44.35 359.46 0.90
44670.375000001 21 00 18.57 44.72 362.29 0.89
44670.375694445 21 01 18.76 45.09 365.12 0.89
44670.376388889 21 02 18.96 45.46 367.96 0.89
44670.377083334 21 03 19.15 45.82 370.80 0.89
44670.377777778 21 04 19.34 46.19 373.63 0.89
44670.378472223 21 05 19.54 46.56 376.47 0.89
44670.379166667 21 06 19.73 46.93 379.32 0.88
44670.379861112 21 07 19.92 47.29 382.16 0.88
44670.380555556 21 08 20.12 47.66 384.82 0.88
44670.381250001 21 09 20.31 48.02 387.35 0.88
44670.381944445 21 10 20.50 48.39 389.88 0.88
44670.382638889 21 11 20.70 48.75 392.41 0.87
44670.383333334 21 12 20.89 49.11 394.95 0.87
44670.384027778 21 13 21.08 49.48 397.49 0.87
44670.384722223 21 14 21.28 49.84 400.02 0.87
44670.385416667 21 15 21.47 50.20 402.56 0.87
44670.386111112 21 16 21.67 50.56 405.10 0.87
44670.386805556 21 17 21.86 50.92 407.65 0.86
44670.387500001 21 18 22.06 51.28 410.10 0.86
44670.388194445 21 19 22.25 51.64 412.33 0.86
44670.388888889 21 20 22.45 52.00 414.55 0.86
44670.389583334 21 21 22.64 52.36 416.78 0.86
44670.390277778 21 22 22.84 52.72 419.01 0.86
44670.390972223 21 23 23.03 53.07 421.25 0.85
44670.391666667 21 24 23.23 53.43 423.48 0.85
44670.392361112 21 25 23.42 53.79 425.71 0.85
44670.393055556 21 26 23.62 54.14 427.95 0.85
44670.393750001 21 27 23.81 54.50 430.18 0.85
44670.394444445 21 28 24.01 54.85 432.42 0.84
44670.395138890 21 29 24.20 55.20 434.49 0.84
44670.395833334 21 30 24.40 55.56 436.57 0.84
44670.396527778 21 31 24.59 55.91 438.65 0.84
44670.397222223 21 32 24.79 56.26 440.74 0.84
44670.397916667 21 33 24.99 56.61 442.82 0.83
44670.398611112 21 34 25.18 56.96 444.75 0.83
44670.399305556 21 35 25.38 57.31 446.68 0.83
44670.400000001 21 36 25.58 57.66 448.60 0.83
44670.400694445 21 37 25.77 58.01 450.53 0.83
44670.401388890 21 38 25.97 58.35 452.45 0.82
44670.402083334 21 39 26.16 58.70 454.25 0.82
44670.402777778 21 40 26.36 59.04 456.02 0.82
44670.403472223 21 41 26.56 59.39 457.78 0.82
44670.404166667 21 42 26.75 59.73 459.55 0.82
44670.404861112 21 43 26.95 60.08 461.32 0.82
44670.405555556 21 44 27.15 60.42 463.09 0.81
44670.406250001 21 45 27.35 60.76 464.86 0.81
44670.406944445 21 46 27.54 61.10 466.64 0.81
44670.407638890 21 47 27.74 61.44 468.41 0.81
44670.408333334 21 48 27.94 61.78 470.18 0.81
44670.409027778 21 49 28.13 62.12 471.85 0.80
44670.409722223 21 50 28.33 62.46 473.46 0.80
44670.410416667 21 51 28.53 62.80 475.07 0.80
44670.411111112 21 52 28.73 63.14 476.69 0.80
44670.411805556 21 53 28.92 63.47 478.30 0.80
44670.412500001 21 54 29.12 63.81 479.92 0.79
44670.413194445 21 55 29.32 64.14 481.54 0.79
44670.413888890 21 56 29.52 64.48 483.15 0.79
44670.414583334 21 57 29.72 64.81 484.77 0.79
44670.415277778 21 58 29.91 65.14 486.39 0.79
44670.415972223 21 59 30.11 65.47 487.91 0.78
44670.416666667 22 00 30.31 65.80 489.37 0.78
44670.417361112 22 01 30.51 66.13 490.83 0.78
44670.418055556 22 02 30.71 66.46 492.29 0.78
44670.418750001 22 03 30.90 66.79 493.75 0.78
44670.419444445 22 04 31.10 67.12 495.12 0.77
44670.420138890 22 05 31.30 67.44 496.42 0.77
44670.420833334 22 06 31.50 67.77 497.71 0.77
44670.421527778 22 07 31.70 68.09 499.01 0.77
44670.422222223 22 08 31.90 68.42 500.31 0.77
44670.422916667 22 09 32.10 68.74 501.69 0.76
44670.423611112 22 10 32.29 69.06 503.15 0.76
44670.424305556 22 11 32.49 69.38 504.61 0.76
44670.425000001 22 12 32.69 69.70 506.07 0.76
44670.425694445 22 13 32.89 70.02 507.54 0.76
44670.426388890 22 14 33.09 70.34 508.85 0.75
44670.427083334 22 15 33.29 70.66 509.99 0.75
44670.427777778 22 16 33.49 70.98 511.13 0.75
44670.428472223 22 17 33.69 71.29 512.27 0.75
44670.429166667 22 18 33.89 71.61 513.41 0.75
44670.429861112 22 19 34.08 71.92 514.61 0.74
44670.430555556 22 20 34.28 72.24 515.92 0.74
44670.431250001 22 21 34.48 72.55 517.22 0.74
44670.431944445 22 22 34.68 72.86 518.52 0.74
