#ns,relative amplitude
-1.000000000000000000e+01,0.000000000000000000e+00
-9.000000000000000000e+00,0.000000000000000000e+00
-8.000000000000000000e+00,0.000000000000000000e+00
-7.000000000000000000e+00,0.000000000000000000e+00
-6.000000000000000000e+00,0.000000000000000000e+00
-5.000000000000000000e+00,0.000000000000000000e+00
-4.000000000000000000e+00,1.115351112989278887e-02
-3.000000000000000000e+00,1.968088426269017643e-01
-2.000000000000000000e+00,6.093080859917860970e-01
-1.000000000000000000e+00,8.979164022665757638e-01
0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,9.468061062005850292e-01
2.000000000000000000e+00,7.899276219881498085e-01
3.000000000000000000e+00,6.262901773819556928e-01
4.000000000000000000e+00,4.780632725128760585e-01
5.000000000000000000e+00,3.484538374038843034e-01
6.000000000000000000e+00,2.517138054737678154e-01
7.000000000000000000e+00,1.990253881766246014e-01
8.000000000000000000e+00,1.648065949861819979e-01
9.000000000000000000e+00,1.162472789104168208e-01
1.000000000000000000e+01,8.493795859125943815e-02
1.100000000000000000e+01,7.791071614393821343e-02
1.200000000000000000e+01,7.465255931019783298e-02
1.300000000000000000e+01,5.933465757049047329e-02
1.400000000000000000e+01,4.585002580514321163e-02
1.500000000000000000e+01,3.186967498981035929e-02
1.600000000000000000e+01,1.395799299845328773e-02
1.700000000000000000e+01,2.013534419238567283e-02
1.800000000000000000e+01,2.597498397987622540e-02
1.900000000000000000e+01,1.392004295037342979e-02
2.000000000000000000e+01,1.359167179236045160e-03
2.100000000000000000e+01,4.048583026115710744e-04
2.200000000000000000e+01,2.588878428706756045e-03
2.300000000000000000e+01,2.270470015131510321e-03
2.400000000000000000e+01,3.542425540777353107e-03
2.500000000000000000e+01,0.000000000000000000e+00
2.600000000000000000e+01,0.000000000000000000e+00
2.700000000000000000e+01,2.648618473456456051e-03
2.800000000000000000e+01,6.654325012977306726e-03
2.900000000000000000e+01,6.424700067593501311e-03
3.000000000000000000e+01,4.158004258687679543e-04
3.100000000000000000e+01,1.309921993659092856e-03
3.200000000000000000e+01,1.309921993659092856e-03
3.300000000000000000e+01,0.000000000000000000e+00
3.400000000000000000e+01,1.457855621209511437e-03
3.500000000000000000e+01,5.569918682942023337e-03
3.600000000000000000e+01,0.000000000000000000e+00
3.700000000000000000e+01,4.048583026115710744e-04
3.800000000000000000e+01,4.203147383836599617e-03
3.900000000000000000e+01,5.802711729819958267e-03
4.000000000000000000e+01,0.000000000000000000e+00
4.100000000000000000e+01,0.000000000000000000e+00
4.200000000000000000e+01,5.698005740459148333e-04
4.300000000000000000e+01,0.000000000000000000e+00
4.400000000000000000e+01,0.000000000000000000e+00
4.500000000000000000e+01,6.993007201414842356e-04
4.600000000000000000e+01,0.000000000000000000e+00
4.700000000000000000e+01,0.000000000000000000e+00
4.800000000000000000e+01,0.000000000000000000e+00
4.900000000000000000e+01,1.514835655689239415e-03
5.000000000000000000e+01,2.479927528363007685e-03
5.100000000000000000e+01,1.161516572420413611e-03
5.200000000000000000e+01,0.000000000000000000e+00
5.300000000000000000e+01,0.000000000000000000e+00
5.400000000000000000e+01,7.326007462464846631e-04
5.500000000000000000e+01,4.662004800943228056e-04
5.600000000000000000e+01,0.000000000000000000e+00
5.700000000000000000e+01,0.000000000000000000e+00
5.800000000000000000e+01,0.000000000000000000e+00
5.900000000000000000e+01,6.153846016296974112e-04
6.000000000000000000e+01,4.807692307692307959e-04
6.100000000000000000e+01,0.000000000000000000e+00
6.200000000000000000e+01,5.698005740459148333e-04
6.300000000000000000e+01,0.000000000000000000e+00
6.400000000000000000e+01,7.326007462464846631e-04
6.500000000000000000e+01,1.016260167727103640e-03
6.600000000000000000e+01,0.000000000000000000e+00
6.700000000000000000e+01,0.000000000000000000e+00
6.800000000000000000e+01,0.000000000000000000e+00
6.900000000000000000e+01,0.000000000000000000e+00
7.000000000000000000e+01,0.000000000000000000e+00
7.100000000000000000e+01,0.000000000000000000e+00
7.200000000000000000e+01,0.000000000000000000e+00
7.300000000000000000e+01,0.000000000000000000e+00
7.400000000000000000e+01,0.000000000000000000e+00
7.500000000000000000e+01,5.128205395661867465e-04
7.600000000000000000e+01,9.523809815828617169e-04
7.700000000000000000e+01,0.000000000000000000e+00
7.800000000000000000e+01,0.000000000000000000e+00
7.900000000000000000e+01,1.074535227738893876e-03
8.000000000000000000e+01,0.000000000000000000e+00
8.100000000000000000e+01,0.000000000000000000e+00
8.200000000000000000e+01,0.000000000000000000e+00
8.300000000000000000e+01,0.000000000000000000e+00
8.400000000000000000e+01,7.326007462464846631e-04
8.500000000000000000e+01,0.000000000000000000e+00
8.600000000000000000e+01,0.000000000000000000e+00
8.700000000000000000e+01,6.153846016296974112e-04
8.800000000000000000e+01,0.000000000000000000e+00
8.900000000000000000e+01,0.000000000000000000e+00
9.000000000000000000e+01,5.494505740129031202e-04
9.100000000000000000e+01,0.000000000000000000e+00
9.200000000000000000e+01,0.000000000000000000e+00
9.300000000000000000e+01,0.000000000000000000e+00
9.400000000000000000e+01,0.000000000000000000e+00
9.500000000000000000e+01,0.000000000000000000e+00
9.600000000000000000e+01,6.993007201414842356e-04
9.700000000000000000e+01,5.494505740129031202e-04
9.800000000000000000e+01,5.494505740129031202e-04
9.900000000000000000e+01,0.000000000000000000e+00
1.000000000000000000e+02,0.000000000000000000e+00
1.010000000000000000e+02,0.000000000000000000e+00
1.020000000000000000e+02,0.000000000000000000e+00
1.030000000000000000e+02,0.000000000000000000e+00
1.040000000000000000e+02,0.000000000000000000e+00
1.050000000000000000e+02,0.000000000000000000e+00
1.060000000000000000e+02,0.000000000000000000e+00
1.070000000000000000e+02,1.050569804815145629e-03
1.080000000000000000e+02,0.000000000000000000e+00
1.090000000000000000e+02,0.000000000000000000e+00
1.100000000000000000e+02,6.688963335293989648e-04
1.110000000000000000e+02,0.000000000000000000e+00
1.120000000000000000e+02,0.000000000000000000e+00
1.130000000000000000e+02,0.000000000000000000e+00
1.140000000000000000e+02,0.000000000000000000e+00
1.150000000000000000e+02,0.000000000000000000e+00
1.160000000000000000e+02,0.000000000000000000e+00
1.170000000000000000e+02,6.153846016296974112e-04
1.180000000000000000e+02,0.000000000000000000e+00
1.190000000000000000e+02,0.000000000000000000e+00
1.200000000000000000e+02,0.000000000000000000e+00
1.210000000000000000e+02,1.347985347876181966e-03
1.220000000000000000e+02,0.000000000000000000e+00
1.230000000000000000e+02,0.000000000000000000e+00
1.240000000000000000e+02,0.000000000000000000e+00
1.250000000000000000e+02,0.000000000000000000e+00
1.260000000000000000e+02,0.000000000000000000e+00
1.270000000000000000e+02,0.000000000000000000e+00
1.280000000000000000e+02,0.000000000000000000e+00
1.290000000000000000e+02,4.807692307692307959e-04
1.300000000000000000e+02,0.000000000000000000e+00
1.310000000000000000e+02,0.000000000000000000e+00
1.320000000000000000e+02,3.752345075974097485e-04
1.330000000000000000e+02,0.000000000000000000e+00
1.340000000000000000e+02,0.000000000000000000e+00
1.350000000000000000e+02,0.000000000000000000e+00
1.360000000000000000e+02,0.000000000000000000e+00
1.370000000000000000e+02,0.000000000000000000e+00
1.380000000000000000e+02,0.000000000000000000e+00
1.390000000000000000e+02,0.000000000000000000e+00
1.400000000000000000e+02,0.000000000000000000e+00
1.410000000000000000e+02,0.000000000000000000e+00
1.420000000000000000e+02,1.232741658504192669e-03
1.430000000000000000e+02,0.000000000000000000e+00
1.440000000000000000e+02,0.000000000000000000e+00
1.450000000000000000e+02,0.000000000000000000e+00
1.460000000000000000e+02,0.000000000000000000e+00
1.470000000000000000e+02,0.000000000000000000e+00
1.480000000000000000e+02,0.000000000000000000e+00
1.490000000000000000e+02,0.000000000000000000e+00
1.500000000000000000e+02,0.000000000000000000e+00
1.510000000000000000e+02,1.050569804815145629e-03
1.520000000000000000e+02,5.917159983744987774e-04
1.530000000000000000e+02,0.000000000000000000e+00
1.540000000000000000e+02,0.000000000000000000e+00
1.550000000000000000e+02,0.000000000000000000e+00
1.560000000000000000e+02,0.000000000000000000e+00
1.570000000000000000e+02,0.000000000000000000e+00
1.580000000000000000e+02,0.000000000000000000e+00
1.590000000000000000e+02,0.000000000000000000e+00
1.600000000000000000e+02,0.000000000000000000e+00
1.610000000000000000e+02,0.000000000000000000e+00
1.620000000000000000e+02,0.000000000000000000e+00
1.630000000000000000e+02,0.000000000000000000e+00
1.640000000000000000e+02,0.000000000000000000e+00
1.650000000000000000e+02,0.000000000000000000e+00
1.660000000000000000e+02,0.000000000000000000e+00
1.670000000000000000e+02,5.698005740459148333e-04
1.680000000000000000e+02,5.698005740459148333e-04
1.690000000000000000e+02,5.698005740459148333e-04
1.700000000000000000e+02,5.698005740459148333e-04
1.710000000000000000e+02,5.698005740459148333e-04
1.720000000000000000e+02,5.698005740459148333e-04
1.730000000000000000e+02,5.698005740459148333e-04
1.740000000000000000e+02,5.698005740459148333e-04
1.750000000000000000e+02,0.000000000000000000e+00
1.760000000000000000e+02,0.000000000000000000e+00
1.770000000000000000e+02,0.000000000000000000e+00
1.780000000000000000e+02,0.000000000000000000e+00
1.790000000000000000e+02,0.000000000000000000e+00
1.800000000000000000e+02,0.000000000000000000e+00
1.810000000000000000e+02,0.000000000000000000e+00
1.820000000000000000e+02,0.000000000000000000e+00
1.830000000000000000e+02,0.000000000000000000e+00
1.840000000000000000e+02,6.688963335293989648e-04
1.850000000000000000e+02,0.000000000000000000e+00
1.860000000000000000e+02,0.000000000000000000e+00
1.870000000000000000e+02,0.000000000000000000e+00
1.880000000000000000e+02,0.000000000000000000e+00
1.890000000000000000e+02,0.000000000000000000e+00
1.900000000000000000e+02,0.000000000000000000e+00
1.910000000000000000e+02,0.000000000000000000e+00
1.920000000000000000e+02,0.000000000000000000e+00
