# ampA, ampB
6.981798828836209766e-07 9.595467305497036662e-08
6.282489964537734848e-07 2.969713426116704856e-07
8.063322648259705747e-07 -1.012805370311153385e-07
8.224195693047622427e-07 3.074359411477523496e-07
8.632297011341744743e-07 1.997438278059881389e-07
1.046402587990538130e-06 4.488446254720153928e-07
1.423929786199838032e-06 5.877834432083618287e-07
1.014100967221476850e-06 3.433711419070932941e-07
6.533319452812431047e-07 1.888588018054791288e-07
8.442247759258513567e-07 2.297377902051245608e-07
4.454884849655395871e-07 -8.882468688723220660e-08
6.243725024877720707e-07 2.314624849041238087e-07
1.078531995841384979e-06 3.095600330388132610e-07
1.412066812474356762e-06 5.004585156869567259e-07
1.322517450121255335e-06 6.113741369282054607e-07
2.329243617891338497e-06 4.716765389599594730e-07
