# ampA, ampB
2.133505266301964206e-07 6.403505218368696345e-08
3.016189440536742059e-07 -5.915516700301171790e-08
4.321143462945120440e-07 -3.137375897322815339e-08
4.010789404357789780e-07 2.176985153059136883e-08
3.392902211983584109e-07 3.241665966708192806e-08
4.443314895931386963e-07 5.611862428568575742e-08
4.035058739796136703e-07 1.903630304145148940e-09
4.776876866353944678e-07 1.512647257194112143e-07
6.665257390604377878e-07 1.087938900705240022e-07
9.641734748653764378e-07 1.489894562262712444e-07
9.736493784783756811e-07 4.351521544296626048e-07
9.533350817302040577e-07 5.768219704008383300e-07
1.042256133038545047e-06 4.238800099192070240e-07
1.249689521930810089e-06 6.440129128614412253e-07
9.113666452259264445e-07 6.049221139922893386e-07
