# ampA, ampB, timestrings
3.529921992640903370e-07 2.289972732256919355e-08 4.504235117940704367e+04
3.309642542964165525e-07 1.387140704376517029e-07 4.504236798274461762e+04
3.538923930843015360e-07 4.753905051607362570e-08 4.504238474209953711e+04
4.533533580480931260e-07 -1.935127778715987213e-08 4.504240150144390645e+04
8.501157346441448676e-07 2.371713170221016689e-07 4.504327044394976110e+04
6.931841768460588312e-07 1.833758752153810863e-07 4.504328586067951983e+04
6.435494570423558870e-07 1.300791991839912166e-07 4.504330127739770978e+04
6.298822931869605326e-07 6.990222676322357547e-08 4.504331669410670293e+04
6.757953634968532916e-07 6.896170809911810665e-08 4.504333211955513252e+04
3.908458550919067621e-07 1.081531038339564316e-07 4.504335047522561945e+04
5.046062386863626311e-07 9.113616494221190436e-09 4.504336713404238981e+04
3.829266454923007446e-07 1.372899598289883867e-09 4.504338255082922115e+04
5.415905684897066094e-07 1.258970814938790324e-07 4.504436244213970349e+04
3.712354420464674505e-07 -3.767981901029276962e-08 4.504438012329469348e+04
4.235482011630383209e-07 9.855254928951905193e-08 4.504439785841797857e+04
