# chiA, chiB
9.349775213059674517e-01 1.715012214036406579e-01
9.989244916645713124e-01 4.238641996152957558e-01
5.503456656122296398e-01 1.875255426567201400e-01
5.505312986613539739e-01 6.713317842320611073e-02
5.188752015284443520e-01 2.774176041163951556e-01
6.079919883611755171e-01 2.064102787948995377e-01
4.648477136954832778e-01 1.428801977600809014e-01
3.848478134640668791e-01 1.481763799084378497e-01
9.528178743428844522e-01 1.450477648135171105e-01
9.132636441318929821e-01 2.767336348486479913e-01
5.346772975563656161e-01 2.089562610912072960e-01
1.002000560835852427e+00 2.326891945118245431e-01
3.626825060856541660e-01 1.799344414257750546e-01
4.698008212797681327e-01 7.123557320783795166e-02
9.425771844136306976e-01 3.013590649596926685e-01
