# muA, ampA, muB, ampB, timestrings
-1.354855416246122102e-01 2.317396150901025364e-07 -1.848256081912921456e+00 7.186345542302843290e-08 4.504833969547705055e+04
2.738125947179383068e+00 3.036960102893786205e-07 -1.359834026852728972e-01 -5.853371775747880637e-08 4.504835683479827276e+04
3.166388322388355991e+00 4.379356319478081591e-07 6.651170599657693749e+00 -7.739650583869503865e-08 4.504837396454562258e+04
1.339307035077082597e+00 4.055722763234878074e-07 1.481623727103145716e-01 2.077934658119908626e-08 4.504839109433103295e+04
2.164433261807140241e+00 3.392433700978007613e-07 -3.457771601937285944e+00 4.174178363601427390e-08 4.504840822406266670e+04
-4.168376758216082306e-02 4.743878715576721536e-07 -3.677045148245797757e-01 5.659389435731887319e-08 4.504842535375124862e+04
9.820929194840429810e-01 4.141980153814300955e-07 -7.252267303163051348e-02 5.442453475032248701e-09 4.504944878160992812e+04
2.663029730721663935e+00 4.801842892208913131e-07 -2.915175097336054205e-02 1.531006665630848667e-07 4.504946771684109262e+04
8.290049757299349231e-01 6.891638553433192549e-07 -2.116785183253007130e-01 1.092033052920493202e-07 4.504948665216756490e+04
1.738525313450407062e+00 9.665851614818675652e-07 -4.466758104043402344e-01 1.495824338493425461e-07 4.504950558741376153e+04
3.076202023728206392e+00 9.870385854042987040e-07 3.079994730456747210e+00 4.612744958362945289e-07 4.504952453019158565e+04
2.370750858916147230e+00 9.539106918852021728e-07 -2.026627954512461915e+00 5.880074509813844928e-07 4.504954347248188424e+04
2.303948950959138209e+00 1.042412996347865940e-06 -2.688731615742561143e-01 4.239376335380594814e-07 4.504956244150509156e+04
3.002488693267181930e+00 1.265264904631309687e-06 9.769268102135573173e-01 6.554479083486745923e-07 4.504958147977060435e+04
2.383999769532243906e+00 9.117242371296186243e-07 -3.843014843669802505e-01 6.046474822288014688e-07 4.504960043725628930e+04
