# year, month, day, hour, min, alt, bl13, bl14, bl34, moon 
2023 05 05 17 00 -18.13 0.00 0.00 0.00 0.00
2023 05 05 17 01 -18.19 0.00 0.00 0.00 0.00
2023 05 05 17 02 -18.24 0.00 0.00 0.00 0.00
2023 05 05 17 03 -18.29 0.00 0.00 0.00 0.00
2023 05 05 17 04 -18.33 0.00 0.00 0.00 0.00
2023 05 05 17 05 -18.38 0.00 0.00 0.00 0.00
2023 05 05 17 06 -18.43 0.00 0.00 0.00 0.00
2023 05 05 17 07 -18.48 0.00 0.00 0.00 0.00
2023 05 05 17 08 -18.52 0.00 0.00 0.00 0.00
2023 05 05 17 09 -18.57 0.00 0.00 0.00 0.00
2023 05 05 17 10 -18.61 0.00 0.00 0.00 0.00
2023 05 05 17 11 -18.66 0.00 0.00 0.00 0.00
2023 05 05 17 12 -18.70 0.00 0.00 0.00 0.00
2023 05 05 17 13 -18.74 0.00 0.00 0.00 0.00
2023 05 05 17 14 -18.79 0.00 0.00 0.00 0.00
2023 05 05 17 15 -18.83 0.00 0.00 0.00 0.00
2023 05 05 17 16 -18.87 0.00 0.00 0.00 0.00
2023 05 05 17 17 -18.91 0.00 0.00 0.00 0.00
2023 05 05 17 18 -18.95 0.00 0.00 0.00 0.00
2023 05 05 17 19 -18.98 0.00 0.00 0.00 0.00
2023 05 05 17 20 -19.02 0.00 0.00 0.00 0.00
2023 05 05 17 21 -19.06 0.00 0.00 0.00 0.00
2023 05 05 17 22 -19.10 0.00 0.00 0.00 0.00
2023 05 05 17 23 -19.13 0.00 0.00 0.00 0.00
2023 05 05 17 24 -19.17 0.00 0.00 0.00 0.00
2023 05 05 17 25 -19.20 0.00 0.00 0.00 0.00
2023 05 05 17 26 -19.23 0.00 0.00 0.00 0.00
2023 05 05 17 27 -19.27 0.00 0.00 0.00 0.00
2023 05 05 17 28 -19.30 0.00 0.00 0.00 0.00
2023 05 05 17 29 -19.33 0.00 0.00 0.00 0.00
2023 05 05 17 30 -19.36 0.00 0.00 0.00 0.00
2023 05 05 17 31 -19.39 0.00 0.00 0.00 0.00
2023 05 05 17 32 -19.42 0.00 0.00 0.00 0.00
2023 05 05 17 33 -19.45 0.00 0.00 0.00 0.00
2023 05 05 17 34 -19.48 0.00 0.00 0.00 0.00
