# year, month, day, hour, min, alt, bl13, bl14, bl34, moon 
2023 05 10 17 00 -0.53 0.00 0.00 0.00 0.00
2023 05 10 17 01 -0.32 0.00 0.00 0.00 0.00
2023 05 10 17 02 -0.11 0.00 0.00 0.00 0.00
2023 05 10 17 03 0.10 0.00 0.00 0.00 0.00
2023 05 10 17 04 0.31 0.00 0.00 0.00 0.00
2023 05 10 17 05 0.52 0.00 0.00 0.00 0.00
2023 05 10 17 06 0.73 0.00 0.00 0.00 0.00
2023 05 10 17 07 0.94 0.00 0.00 0.00 0.00
2023 05 10 17 08 1.15 0.00 0.00 0.00 0.00
2023 05 10 17 09 1.36 0.00 0.00 0.00 0.00
2023 05 10 17 10 1.57 0.00 0.00 0.00 0.00
2023 05 10 17 11 1.78 0.00 0.00 0.00 0.00
2023 05 10 17 12 1.99 0.00 0.00 0.00 0.00
2023 05 10 17 13 2.20 0.00 0.00 0.00 0.00
2023 05 10 17 14 2.41 0.00 0.00 0.00 0.00
2023 05 10 17 15 2.62 0.00 0.00 0.00 0.00
2023 05 10 17 16 2.83 0.00 0.00 0.00 0.00
2023 05 10 17 17 3.04 0.00 0.00 0.00 0.00
2023 05 10 17 18 3.25 0.00 0.00 0.00 0.00
2023 05 10 17 19 3.46 0.00 0.00 0.00 0.00
2023 05 10 17 20 3.67 0.00 0.00 0.00 0.00
2023 05 10 17 21 3.89 0.00 0.00 0.00 0.00
2023 05 10 17 22 4.10 0.00 0.00 0.00 0.00
2023 05 10 17 23 4.31 0.00 0.00 0.00 0.00
2023 05 10 17 24 4.52 0.00 0.00 0.00 0.00
2023 05 10 17 25 4.73 0.00 0.00 0.00 0.00
2023 05 10 17 26 4.95 0.00 0.00 0.00 0.00
2023 05 10 17 27 5.16 0.00 0.00 0.00 0.00
2023 05 10 17 28 5.37 0.00 0.00 0.00 0.00
2023 05 10 17 29 5.59 0.00 0.00 0.00 0.00
2023 05 10 17 30 5.80 0.00 0.00 0.00 0.00
2023 05 10 17 31 6.01 0.00 0.00 0.00 0.00
2023 05 10 17 32 6.22 0.00 0.00 0.00 0.00
2023 05 10 17 33 6.44 0.00 0.00 0.00 0.00
2023 05 10 17 34 6.65 0.00 0.00 0.00 0.00
2023 05 10 17 35 6.87 0.00 0.00 0.00 0.00
2023 05 10 17 36 7.08 0.00 0.00 0.00 0.00
2023 05 10 17 37 7.29 0.00 0.00 0.00 0.00
2023 05 10 17 38 7.51 0.00 0.00 0.00 0.00
2023 05 10 17 39 7.72 0.00 0.00 0.00 0.00
2023 05 10 17 40 7.94 0.00 0.00 0.00 0.00
