# year, month, day, hour, min, alt, bl13, bl14, bl34, moon 
2023 05 07 17 00 20.78 0.00 0.00 0.00 0.00
2023 05 07 17 01 20.96 0.00 0.00 0.00 0.00
2023 05 07 17 02 21.14 0.00 0.00 0.00 0.00
2023 05 07 17 03 21.32 0.00 0.00 0.00 0.00
2023 05 07 17 04 21.50 0.00 0.00 0.00 0.00
2023 05 07 17 05 21.69 0.00 0.00 0.00 0.00
2023 05 07 17 06 21.87 115.15 119.49 46.63 0.00
2023 05 07 17 07 22.05 115.24 119.48 46.99 0.00
2023 05 07 17 08 22.23 115.33 119.47 47.34 0.00
2023 05 07 17 09 22.41 115.42 119.47 47.70 0.00
2023 05 07 17 10 22.59 115.52 119.46 48.05 0.00
2023 05 07 17 11 22.78 115.62 119.45 48.41 0.00
2023 05 07 17 12 22.96 115.72 119.44 48.76 0.00
2023 05 07 17 13 23.14 115.83 119.44 49.11 0.00
2023 05 07 17 14 23.32 115.93 119.43 49.46 0.00
2023 05 07 17 15 23.50 116.04 119.42 49.81 0.00
2023 05 07 17 16 23.69 116.15 119.41 50.17 0.00
2023 05 07 17 17 23.87 116.27 119.41 50.51 0.00
2023 05 07 17 18 24.05 116.38 119.40 50.86 0.00
2023 05 07 17 19 24.23 116.50 119.39 51.21 0.00
2023 05 07 17 20 24.42 116.62 119.39 51.56 0.00
2023 05 07 17 21 24.60 116.75 119.38 51.91 0.00
2023 05 07 17 22 24.78 116.87 119.38 52.26 0.00
2023 05 07 17 23 24.96 117.00 119.37 52.60 0.00
2023 05 07 17 24 25.15 117.13 119.36 52.95 0.00
2023 05 07 17 25 25.33 117.26 119.36 53.29 0.00
2023 05 07 17 26 25.51 117.40 119.35 53.64 0.00
2023 05 07 17 27 25.70 117.53 119.35 53.98 0.00
2023 05 07 17 28 25.88 117.67 119.34 54.32 0.00
2023 05 07 17 29 26.06 117.81 119.34 54.66 0.00
2023 05 07 17 30 26.25 117.95 119.33 55.01 0.00
2023 05 07 17 31 26.43 118.10 119.33 55.35 0.00
2023 05 07 17 32 26.61 118.24 119.32 55.69 0.00
2023 05 07 17 33 26.80 118.39 119.32 56.03 0.00
2023 05 07 17 34 26.98 118.54 119.31 56.37 0.00
2023 05 07 17 35 27.17 118.70 119.31 56.70 0.00
2023 05 07 17 36 27.35 118.85 119.31 57.04 0.00
2023 05 07 17 37 27.53 119.01 119.30 57.38 0.00
2023 05 07 17 38 27.72 119.17 119.30 57.72 0.00
2023 05 07 17 39 27.90 119.33 119.29 58.05 0.00
2023 05 07 17 40 28.09 119.49 119.29 58.39 0.00
2023 05 07 17 41 28.27 119.66 119.29 58.72 0.00
2023 05 07 17 42 28.45 119.82 119.28 59.05 0.00
2023 05 07 17 43 28.64 119.99 119.28 59.39 0.00
2023 05 07 17 44 28.82 120.16 119.28 59.72 0.00
2023 05 07 17 45 29.01 120.33 119.28 60.05 0.00
2023 05 07 17 46 29.19 120.51 119.27 60.38 0.00
2023 05 07 17 47 29.38 120.68 119.27 60.71 0.00
2023 05 07 17 48 29.56 120.86 119.27 61.04 0.00
2023 05 07 17 49 29.75 121.04 119.27 61.37 0.00
2023 05 07 17 50 29.93 121.22 119.27 61.69 0.00
2023 05 07 17 51 30.11 121.40 119.27 62.02 0.00
2023 05 07 17 52 30.30 121.58 119.26 62.35 0.00
2023 05 07 17 53 30.48 121.77 119.26 62.67 30.44
2023 05 07 17 54 30.67 121.96 119.26 63.00 30.43
2023 05 07 17 55 30.85 122.15 119.26 63.32 30.42
2023 05 07 17 56 31.04 122.34 119.26 63.64 30.41
2023 05 07 17 57 31.22 122.53 119.26 63.97 30.40
2023 05 07 17 58 31.41 122.72 119.26 64.29 30.39
2023 05 07 17 59 31.59 122.92 119.26 64.61 30.38
2023 05 07 18 00 31.78 123.11 119.26 64.93 30.37
2023 05 07 18 01 31.96 123.31 119.26 65.25 30.37
2023 05 07 18 02 32.15 123.51 119.26 65.57 30.36
2023 05 07 18 03 32.34 123.71 119.26 65.89 30.35
2023 05 07 18 04 32.52 123.91 119.26 66.20 30.34
2023 05 07 18 05 32.71 124.12 119.26 66.52 30.33
2023 05 07 18 06 32.89 124.32 119.27 66.83 30.32
2023 05 07 18 07 33.08 124.53 119.27 67.15 30.31
2023 05 07 18 08 33.26 124.73 119.27 67.46 30.30
2023 05 07 18 09 33.45 124.94 119.27 67.77 30.29
2023 05 07 18 10 33.63 125.15 119.27 68.09 30.28
2023 05 07 18 11 33.82 125.36 119.27 68.40 30.27
2023 05 07 18 12 34.00 125.58 119.28 68.71 30.27
2023 05 07 18 13 34.19 125.79 119.28 69.02 30.26
2023 05 07 18 14 34.37 126.01 119.28 69.33 30.25
2023 05 07 18 15 34.56 126.22 119.28 69.64 30.24
2023 05 07 18 16 34.75 126.44 119.29 69.94 30.23
2023 05 07 18 17 34.93 126.66 119.29 70.25 30.22
2023 05 07 18 18 35.12 126.88 119.29 70.55 30.21
2023 05 07 18 19 35.30 127.10 119.30 70.86 30.20
2023 05 07 18 20 35.49 127.32 119.30 71.16 30.19
2023 05 07 18 21 35.67 127.54 119.30 71.47 30.19
2023 05 07 18 22 35.86 127.76 119.31 71.77 30.18
2023 05 07 18 23 36.04 127.99 119.31 72.07 30.17
2023 05 07 18 24 36.23 128.21 119.32 72.37 30.16
2023 05 07 18 25 36.41 128.44 119.32 72.67 30.15
2023 05 07 18 26 36.60 128.67 119.33 72.97 30.15
2023 05 07 18 27 36.79 128.90 119.33 73.27 30.14
2023 05 07 18 28 36.97 129.13 119.34 73.56 30.13
2023 05 07 18 29 37.16 129.36 119.34 73.86 30.12
2023 05 07 18 30 37.34 129.59 119.35 74.16 30.11
2023 05 07 18 31 37.53 129.82 119.35 74.45 30.11
2023 05 07 18 32 37.71 130.05 119.36 74.74 30.10
2023 05 07 18 33 37.90 130.28 119.36 75.04 30.09
2023 05 07 18 34 38.08 130.52 119.37 75.33 30.08
2023 05 07 18 35 38.27 130.75 119.37 75.62 30.08
2023 05 07 18 36 38.46 130.99 119.38 75.91 30.07
2023 05 07 18 37 38.64 131.22 119.39 76.20 30.06
