# year, month, day, hour, min, alt, bl13, bl14, bl34, moon 
2023 04 27 17 00 32.11 0.00 0.00 0.00 0.00
2023 04 27 17 01 32.24 0.00 0.00 0.00 0.00
2023 04 27 17 02 32.36 0.00 0.00 0.00 0.00
2023 04 27 17 03 32.49 0.00 0.00 0.00 0.00
2023 04 27 17 04 32.61 0.00 0.00 0.00 0.00
2023 04 27 17 05 32.73 0.00 0.00 0.00 0.00
2023 04 27 17 06 32.86 0.00 0.00 0.00 0.00
2023 04 27 17 07 32.98 0.00 0.00 0.00 0.00
2023 04 27 17 08 33.10 0.00 0.00 0.00 0.00
2023 04 27 17 09 33.23 0.00 0.00 0.00 0.00
2023 04 27 17 10 33.35 0.00 0.00 0.00 0.00
2023 04 27 17 11 33.47 0.00 0.00 0.00 0.00
2023 04 27 17 12 33.60 151.68 118.51 69.75 72.39
2023 04 27 17 13 33.72 151.76 118.50 69.96 72.57
2023 04 27 17 14 33.84 151.85 118.50 70.18 72.75
2023 04 27 17 15 33.97 151.94 118.50 70.39 72.92
2023 04 27 17 16 34.09 152.02 118.49 70.60 73.10
2023 04 27 17 17 34.21 152.11 118.49 70.81 73.27
2023 04 27 17 18 34.33 152.20 118.49 71.02 73.44
2023 04 27 17 19 34.46 152.29 118.48 71.23 73.61
2023 04 27 17 20 34.58 152.38 118.48 71.44 73.78
2023 04 27 17 21 34.70 152.47 118.47 71.65 73.95
2023 04 27 17 22 34.82 152.56 118.47 71.86 74.11
2023 04 27 17 23 34.94 152.65 118.46 72.06 74.28
2023 04 27 17 24 35.07 152.74 118.46 72.27 74.44
2023 04 27 17 25 35.19 152.83 118.45 72.48 74.60
2023 04 27 17 26 35.31 152.92 118.45 72.69 74.76
2023 04 27 17 27 35.43 153.01 118.44 72.90 74.92
2023 04 27 17 28 35.55 153.10 118.44 73.11 75.07
2023 04 27 17 29 35.67 153.20 118.43 73.31 75.22
2023 04 27 17 30 35.79 153.29 118.42 73.52 75.38
2023 04 27 17 31 35.91 153.38 118.42 73.73 75.53
2023 04 27 17 32 36.03 153.48 118.41 73.94 75.68
2023 04 27 17 33 36.15 153.57 118.40 74.14 75.82
2023 04 27 17 34 36.27 153.67 118.40 74.35 75.97
2023 04 27 17 35 36.40 153.76 118.39 74.55 76.11
2023 04 27 17 36 36.52 153.85 118.38 74.76 76.25
2023 04 27 17 37 36.63 153.95 118.38 74.97 76.39
2023 04 27 17 38 36.75 154.05 118.37 75.17 76.53
2023 04 27 17 39 36.87 154.14 118.36 75.38 76.67
2023 04 27 17 40 36.99 154.24 118.35 75.58 76.80
2023 04 27 17 41 37.11 154.34 118.35 75.78 76.94
2023 04 27 17 42 37.23 154.43 118.34 75.99 77.07
2023 04 27 17 43 37.35 154.53 118.33 76.19 77.20
2023 04 27 17 44 37.47 154.63 118.32 76.40 77.32
2023 04 27 17 45 37.59 154.72 118.31 76.60 77.45
2023 04 27 17 46 37.71 154.82 118.30 76.80 77.57
2023 04 27 17 47 37.82 154.92 118.29 77.00 77.70
2023 04 27 17 48 37.94 155.02 118.29 77.21 77.82
2023 04 27 17 49 38.06 155.12 118.28 77.41 77.93
2023 04 27 17 50 38.18 155.22 118.27 77.61 78.05
2023 04 27 17 51 38.29 155.32 118.26 77.81 78.16
2023 04 27 17 52 38.41 155.42 118.25 78.01 78.28
2023 04 27 17 53 38.53 155.51 118.24 78.21 78.39
2023 04 27 17 54 38.65 155.61 118.23 78.41 78.49
2023 04 27 17 55 38.76 155.71 118.22 78.61 78.60
2023 04 27 17 56 38.88 155.81 118.21 78.81 78.70
2023 04 27 17 57 38.99 155.91 118.19 79.01 78.81
2023 04 27 17 58 39.11 156.02 118.18 79.21 78.91
2023 04 27 17 59 39.23 156.12 118.17 79.40 79.00
2023 04 27 18 00 39.34 156.22 118.16 79.60 79.10
2023 04 27 18 01 39.46 156.32 118.15 79.80 79.19
2023 04 27 18 02 39.57 156.42 118.14 80.00 79.29
2023 04 27 18 03 39.69 156.52 118.13 80.19 79.38
2023 04 27 18 04 39.80 156.62 118.11 80.39 79.46
2023 04 27 18 05 39.91 156.72 118.10 80.58 79.55
2023 04 27 18 06 40.03 156.82 118.09 80.78 79.63
2023 04 27 18 07 40.14 156.92 118.08 80.97 79.71
2023 04 27 18 08 40.26 157.03 118.06 81.17 79.79
2023 04 27 18 09 40.37 157.13 118.05 81.36 79.87
2023 04 27 18 10 40.48 157.23 118.04 81.56 79.95
2023 04 27 18 11 40.60 157.33 118.02 81.75 80.02
2023 04 27 18 12 40.71 157.43 118.01 81.94 80.09
2023 04 27 18 13 40.82 157.53 117.99 82.13 80.16
2023 04 27 18 14 40.93 157.64 117.98 82.33 80.23
2023 04 27 18 15 41.04 157.74 117.97 82.52 80.29
2023 04 27 18 16 41.16 157.84 117.95 82.71 80.35
2023 04 27 18 17 41.27 157.94 117.94 82.90 80.41
2023 04 27 18 18 41.38 158.04 117.92 83.09 80.47
2023 04 27 18 19 41.49 158.14 117.91 83.28 80.53
2023 04 27 18 20 41.60 158.25 117.89 83.47 80.58
2023 04 27 18 21 41.71 158.35 117.87 83.66 80.63
2023 04 27 18 22 41.82 158.45 117.86 83.84 80.68
2023 04 27 18 23 41.93 158.55 117.84 84.03 80.73
2023 04 27 18 24 42.04 158.65 117.83 84.22 80.78
2023 04 27 18 25 42.15 158.75 117.81 84.41 80.82
2023 04 27 18 26 42.26 158.86 117.79 84.59 80.86
2023 04 27 18 27 42.36 158.96 117.78 84.78 80.90
2023 04 27 18 28 42.47 159.06 117.76 84.96 80.94
2023 04 27 18 29 42.58 159.16 117.74 85.15 80.97
2023 04 27 18 30 42.69 159.26 117.72 85.33 81.00
2023 04 27 18 31 42.79 159.36 117.70 85.52 81.03
2023 04 27 18 32 42.90 159.46 117.69 85.70 81.06
2023 04 27 18 33 43.01 159.56 117.67 85.88 81.09
2023 04 27 18 34 43.11 159.67 117.65 86.07 81.11
2023 04 27 18 35 43.22 159.77 117.63 86.25 81.13
2023 04 27 18 36 43.32 159.87 117.61 86.43 81.15
2023 04 27 18 37 43.43 159.97 117.59 86.61 81.17
2023 04 27 18 38 43.53 160.07 117.57 86.79 81.18
