# year, month, day, hour, min, alt, bl13, bl14, bl34, moon 
2023 05 06 17 00 -31.98 0.00 0.00 0.00 0.00
2023 05 06 17 01 -31.85 0.00 0.00 0.00 0.00
2023 05 06 17 02 -31.72 0.00 0.00 0.00 0.00
2023 05 06 17 03 -31.59 0.00 0.00 0.00 0.00
2023 05 06 17 04 -31.46 0.00 0.00 0.00 0.00
2023 05 06 17 05 -31.33 0.00 0.00 0.00 0.00
2023 05 06 17 06 -31.20 0.00 0.00 0.00 0.00
2023 05 06 17 07 -31.07 0.00 0.00 0.00 0.00
2023 05 06 17 08 -30.94 0.00 0.00 0.00 0.00
2023 05 06 17 09 -30.81 0.00 0.00 0.00 0.00
2023 05 06 17 10 -30.68 0.00 0.00 0.00 0.00
2023 05 06 17 11 -30.54 0.00 0.00 0.00 0.00
2023 05 06 17 12 -30.41 0.00 0.00 0.00 0.00
2023 05 06 17 13 -30.27 0.00 0.00 0.00 0.00
2023 05 06 17 14 -30.14 0.00 0.00 0.00 0.00
2023 05 06 17 15 -30.00 0.00 0.00 0.00 0.00
2023 05 06 17 16 -29.86 0.00 0.00 0.00 0.00
2023 05 06 17 17 -29.72 0.00 0.00 0.00 0.00
2023 05 06 17 18 -29.59 0.00 0.00 0.00 0.00
2023 05 06 17 19 -29.45 0.00 0.00 0.00 0.00
2023 05 06 17 20 -29.31 0.00 0.00 0.00 0.00
2023 05 06 17 21 -29.17 0.00 0.00 0.00 0.00
2023 05 06 17 22 -29.02 0.00 0.00 0.00 0.00
2023 05 06 17 23 -28.88 0.00 0.00 0.00 0.00
2023 05 06 17 24 -28.74 0.00 0.00 0.00 0.00
2023 05 06 17 25 -28.60 0.00 0.00 0.00 0.00
2023 05 06 17 26 -28.45 0.00 0.00 0.00 0.00
2023 05 06 17 27 -28.31 0.00 0.00 0.00 0.00
2023 05 06 17 28 -28.16 0.00 0.00 0.00 0.00
2023 05 06 17 29 -28.02 0.00 0.00 0.00 0.00
2023 05 06 17 30 -27.87 0.00 0.00 0.00 0.00
2023 05 06 17 31 -27.73 0.00 0.00 0.00 0.00
2023 05 06 17 32 -27.58 0.00 0.00 0.00 0.00
2023 05 06 17 33 -27.43 0.00 0.00 0.00 0.00
2023 05 06 17 34 -27.28 0.00 0.00 0.00 0.00
2023 05 06 17 35 -27.13 0.00 0.00 0.00 0.00
2023 05 06 17 36 -26.98 0.00 0.00 0.00 0.00
2023 05 06 17 37 -26.83 0.00 0.00 0.00 0.00
2023 05 06 17 38 -26.68 0.00 0.00 0.00 0.00
2023 05 06 17 39 -26.53 0.00 0.00 0.00 0.00
2023 05 06 17 40 -26.38 0.00 0.00 0.00 0.00
2023 05 06 17 41 -26.23 0.00 0.00 0.00 0.00
2023 05 06 17 42 -26.07 0.00 0.00 0.00 0.00
2023 05 06 17 43 -25.92 0.00 0.00 0.00 0.00
2023 05 06 17 44 -25.77 0.00 0.00 0.00 0.00
2023 05 06 17 45 -25.61 0.00 0.00 0.00 0.00
2023 05 06 17 46 -25.46 0.00 0.00 0.00 0.00
2023 05 06 17 47 -25.30 0.00 0.00 0.00 0.00
2023 05 06 17 48 -25.14 0.00 0.00 0.00 0.00
2023 05 06 17 49 -24.99 0.00 0.00 0.00 0.00
2023 05 06 17 50 -24.83 0.00 0.00 0.00 0.00
2023 05 06 17 51 -24.67 0.00 0.00 0.00 0.00
2023 05 06 17 52 -24.51 0.00 0.00 0.00 0.00
2023 05 06 17 53 -24.36 0.00 0.00 0.00 0.00
2023 05 06 17 54 -24.20 0.00 0.00 0.00 0.00
2023 05 06 17 55 -24.04 0.00 0.00 0.00 0.00
2023 05 06 17 56 -23.88 0.00 0.00 0.00 0.00
2023 05 06 17 57 -23.72 0.00 0.00 0.00 0.00
2023 05 06 17 58 -23.55 0.00 0.00 0.00 0.00
2023 05 06 17 59 -23.39 0.00 0.00 0.00 0.00
2023 05 06 18 00 -23.23 0.00 0.00 0.00 0.00
2023 05 06 18 01 -23.07 0.00 0.00 0.00 0.00
2023 05 06 18 02 -22.90 0.00 0.00 0.00 0.00
2023 05 06 18 03 -22.74 0.00 0.00 0.00 0.00
2023 05 06 18 04 -22.58 0.00 0.00 0.00 0.00
