# year, month, day, hour, min, alt, bl13, bl14, bl34, moon 
2023 05 04 17 00 64.22 0.00 0.00 0.00 0.00
2023 05 04 17 01 64.15 0.00 0.00 0.00 0.00
2023 05 04 17 02 64.08 0.00 0.00 0.00 0.00
2023 05 04 17 03 64.01 0.00 0.00 0.00 0.00
2023 05 04 17 04 63.93 0.00 0.00 0.00 0.00
2023 05 04 17 05 63.86 0.00 0.00 0.00 0.00
2023 05 04 17 06 63.78 0.00 0.00 0.00 0.00
2023 05 04 17 07 63.70 0.00 0.00 0.00 0.00
2023 05 04 17 08 63.63 168.34 110.73 118.04 69.87
2023 05 04 17 09 63.55 168.27 110.61 118.08 70.01
2023 05 04 17 10 63.46 168.19 110.50 118.13 70.15
2023 05 04 17 11 63.38 168.12 110.38 118.17 70.29
2023 05 04 17 12 63.30 168.05 110.26 118.21 70.43
2023 05 04 17 13 63.21 167.97 110.15 118.25 70.57
2023 05 04 17 14 63.13 167.89 110.03 118.29 70.71
2023 05 04 17 15 63.04 167.81 109.91 118.33 70.85
2023 05 04 17 16 62.95 167.73 109.79 118.37 71.00
2023 05 04 17 17 62.86 167.65 109.66 118.41 71.14
2023 05 04 17 18 62.77 167.56 109.54 118.44 71.28
2023 05 04 17 19 62.68 167.48 109.42 118.48 71.43
2023 05 04 17 20 62.59 167.39 109.29 118.52 71.58
2023 05 04 17 21 62.49 167.30 109.17 118.55 71.72
2023 05 04 17 22 62.40 167.21 109.04 118.59 71.87
2023 05 04 17 23 62.30 167.12 108.91 118.62 72.02
2023 05 04 17 24 62.20 167.03 108.79 118.66 72.16
2023 05 04 17 25 62.10 166.94 108.66 118.69 72.31
2023 05 04 17 26 62.00 166.84 108.53 118.73 72.46
2023 05 04 17 27 61.90 166.75 108.40 118.76 72.61
2023 05 04 17 28 61.80 166.65 108.27 118.79 72.76
2023 05 04 17 29 61.70 166.55 108.13 118.82 72.91
2023 05 04 17 30 61.59 166.45 108.00 118.86 73.06
2023 05 04 17 31 61.49 166.35 107.87 118.89 73.20
2023 05 04 17 32 61.38 166.25 107.73 118.92 73.35
2023 05 04 17 33 61.28 166.15 107.60 118.95 73.50
2023 05 04 17 34 61.17 166.04 107.46 118.98 73.65
2023 05 04 17 35 61.06 165.94 107.32 119.01 73.81
2023 05 04 17 36 60.95 165.83 107.18 119.04 73.96
2023 05 04 17 37 60.84 165.72 107.04 119.07 74.11
2023 05 04 17 38 60.73 165.61 106.90 119.09 74.26
2023 05 04 17 39 60.61 165.50 106.76 119.12 74.41
2023 05 04 17 40 60.50 165.39 106.62 119.15 74.56
2023 05 04 17 41 60.39 165.27 106.48 119.17 74.71
2023 05 04 17 42 60.27 165.16 106.33 119.20 74.86
2023 05 04 17 43 60.15 165.04 106.19 119.23 75.01
2023 05 04 17 44 60.04 164.93 106.04 119.25 75.16
2023 05 04 17 45 59.92 164.81 105.89 119.28 75.31
2023 05 04 17 46 59.80 164.69 105.75 119.30 75.46
2023 05 04 17 47 59.68 164.57 105.60 119.33 75.61
2023 05 04 17 48 59.56 164.44 105.45 119.35 75.76
2023 05 04 17 49 59.44 164.32 105.30 119.37 75.91
2023 05 04 17 50 59.32 164.20 105.15 119.39 76.06
2023 05 04 17 51 59.20 164.07 105.00 119.42 76.21
2023 05 04 17 52 59.07 163.95 104.84 119.44 76.36
2023 05 04 17 53 58.95 163.82 104.69 119.46 76.51
2023 05 04 17 54 58.82 163.69 104.53 119.48 76.66
2023 05 04 17 55 58.70 163.56 104.38 119.50 76.81
2023 05 04 17 56 58.57 163.43 104.22 119.52 76.96
2023 05 04 17 57 58.44 163.29 104.06 119.54 77.11
2023 05 04 17 58 58.32 163.16 103.90 119.56 77.26
2023 05 04 17 59 58.19 163.03 103.75 119.58 77.40
2023 05 04 18 00 58.06 162.89 103.58 119.60 77.55
2023 05 04 18 01 57.93 162.75 103.42 119.62 77.70
2023 05 04 18 02 57.80 162.62 103.26 119.64 77.85
2023 05 04 18 03 57.67 162.48 103.10 119.66 77.99
2023 05 04 18 04 57.53 162.34 102.93 119.67 78.14
2023 05 04 18 05 57.40 162.20 102.77 119.69 78.29
2023 05 04 18 06 57.27 162.06 102.60 119.71 78.44
2023 05 04 18 07 57.13 161.91 102.44 119.72 78.58
2023 05 04 18 08 57.00 161.77 102.27 119.74 78.73
2023 05 04 18 09 56.87 161.62 102.10 119.76 78.87
2023 05 04 18 10 56.73 161.48 101.93 119.77 79.02
2023 05 04 18 11 56.59 161.33 101.76 119.79 79.16
2023 05 04 18 12 56.46 161.18 101.59 119.80 79.31
2023 05 04 18 13 56.32 161.03 101.42 119.82 79.45
2023 05 04 18 14 56.18 160.88 101.24 119.83 79.60
2023 05 04 18 15 56.04 160.73 101.07 119.84 79.74
2023 05 04 18 16 55.90 160.58 100.89 119.86 79.88
2023 05 04 18 17 55.76 160.43 100.72 119.87 80.03
2023 05 04 18 18 55.62 160.27 100.54 119.88 80.17
2023 05 04 18 19 55.48 160.12 100.36 119.90 80.31
2023 05 04 18 20 55.34 159.96 100.19 119.91 80.45
2023 05 04 18 21 55.20 159.80 100.01 119.92 80.60
2023 05 04 18 22 55.06 159.65 99.83 119.93 80.74
2023 05 04 18 23 54.91 159.49 99.64 119.94 80.88
2023 05 04 18 24 54.77 159.33 99.46 119.95 81.02
2023 05 04 18 25 54.63 159.17 99.28 119.96 81.16
