# realtime, hour, min, alt, baseline, rate, SC
44668.221527778 17 19 32.16 69.88 674.26 0.47
44668.222222222 17 20 32.27 70.06 675.35 0.47
44668.222916667 17 21 32.38 70.25 676.43 0.47
44668.223611111 17 22 32.49 70.43 677.51 0.47
44668.224305556 17 23 32.60 70.61 678.60 0.46
44668.225000000 17 24 32.71 70.80 679.68 0.46
44668.225694445 17 25 32.82 70.98 680.76 0.46
44668.226388889 17 26 32.92 71.16 681.83 0.46
44668.227083333 17 27 33.03 71.35 682.84 0.46
44668.227777778 17 28 33.14 71.53 683.68 0.45
44668.228472222 17 29 33.25 71.72 684.51 0.45
44668.229166667 17 30 33.36 71.90 685.35 0.45
44668.229861111 17 31 33.47 72.08 686.18 0.45
44668.230555556 17 32 33.58 72.27 687.01 0.45
44668.231250000 17 33 33.69 72.45 687.85 0.44
44668.231944445 17 34 33.79 72.63 688.68 0.44
44668.232638889 17 35 33.90 72.82 689.51 0.44
44668.233333333 17 36 34.01 73.00 690.35 0.44
44668.234027778 17 37 34.12 73.18 691.29 0.44
44668.234722222 17 38 34.23 73.37 692.24 0.43
44668.235416667 17 39 34.33 73.55 693.18 0.43
44668.236111111 17 40 34.44 73.73 694.13 0.43
44668.236805556 17 41 34.55 73.91 695.07 0.43
44668.237500000 17 42 34.65 74.10 696.01 0.43
44668.238194445 17 43 34.76 74.28 696.95 0.42
44668.238888889 17 44 34.87 74.46 697.88 0.42
44668.239583333 17 45 34.97 74.64 698.82 0.42
44668.240277778 17 46 35.08 74.83 699.67 0.42
44668.240972222 17 47 35.19 75.01 700.48 0.42
44668.241666667 17 48 35.29 75.19 701.30 0.41
44668.242361111 17 49 35.40 75.37 702.11 0.41
44668.243055556 17 50 35.51 75.55 702.93 0.41
44668.243750000 17 51 35.61 75.73 703.74 0.41
44668.244444445 17 52 35.72 75.91 704.55 0.41
44668.245138889 17 53 35.82 76.10 705.36 0.40
44668.245833333 17 54 35.93 76.28 706.17 0.40
44668.246527778 17 55 36.03 76.46 706.94 0.40
44668.247222222 17 56 36.14 76.64 707.63 0.40
44668.247916667 17 57 36.24 76.82 708.32 0.40
44668.248611111 17 58 36.35 77.00 709.00 0.40
44668.249305556 17 59 36.45 77.18 709.69 0.39
44668.250000000 18 00 36.55 77.36 710.37 0.39
44668.250694445 18 01 36.66 77.54 711.06 0.39
44668.251388889 18 02 36.76 77.71 711.74 0.39
44668.252083333 18 03 36.87 77.89 712.42 0.39
44668.252777778 18 04 36.97 78.07 713.10 0.38
44668.253472222 18 05 37.07 78.25 713.86 0.38
44668.254166667 18 06 37.17 78.43 714.65 0.38
44668.254861111 18 07 37.28 78.61 715.44 0.38
44668.255555556 18 08 37.38 78.78 716.23 0.38
44668.256250000 18 09 37.48 78.96 717.01 0.37
44668.256944445 18 10 37.58 79.14 717.80 0.37
44668.257638889 18 11 37.69 79.32 718.58 0.37
44668.258333333 18 12 37.79 79.49 719.36 0.37
