# realtime, hour, min, alt, baseline, rate, SC
44672.408333334 21 48 10.00 46.85 102.02 0.81
44672.409027778 21 49 10.21 47.16 105.06 0.80
44672.409722223 21 50 10.42 47.47 108.10 0.80
44672.410416667 21 51 10.63 47.78 111.15 0.80
44672.411111112 21 52 10.84 48.09 114.20 0.80
44672.411805556 21 53 11.05 48.40 117.23 0.79
44672.412500001 21 54 11.26 48.72 120.19 0.79
44672.413194445 21 55 11.47 49.03 123.15 0.79
44672.413888890 21 56 11.68 49.35 126.11 0.79
44672.414583334 21 57 11.90 49.66 129.07 0.78
44672.415277778 21 58 12.11 49.98 131.89 0.78
44672.415972223 21 59 12.32 50.30 134.57 0.78
44672.416666667 22 00 12.53 50.62 137.25 0.78
44672.417361112 22 01 12.74 50.93 139.93 0.77
44672.418055556 22 02 12.95 51.25 142.62 0.77
44672.418750001 22 03 13.16 51.57 145.23 0.77
44672.419444445 22 04 13.37 51.89 147.82 0.77
44672.420138890 22 05 13.59 52.22 150.41 0.76
44672.420833334 22 06 13.80 52.54 153.01 0.76
44672.421527778 22 07 14.01 52.86 155.60 0.76
44672.422222223 22 08 14.22 53.18 158.00 0.76
44672.422916667 22 09 14.44 53.50 160.41 0.75
44672.423611112 22 10 14.65 53.83 162.81 0.75
44672.424305556 22 11 14.86 54.15 165.22 0.75
44672.425000001 22 12 15.07 54.48 167.57 0.75
44672.425694445 22 13 15.29 54.80 169.79 0.74
44672.426388890 22 14 15.50 55.13 172.01 0.74
44672.427083334 22 15 15.71 55.45 174.23 0.74
44672.427777778 22 16 15.93 55.78 176.45 0.74
44672.428472223 22 17 16.14 56.10 178.55 0.73
44672.429166667 22 18 16.35 56.43 180.58 0.73
44672.429861112 22 19 16.57 56.75 182.61 0.73
44672.430555556 22 20 16.78 57.08 184.65 0.72
44672.431250001 22 21 16.99 57.40 186.68 0.72
44672.431944445 22 22 17.21 57.73 188.71 0.72
44672.432638890 22 23 17.42 58.05 190.75 0.72
44672.433333334 22 24 17.63 58.38 192.79 0.71
44672.434027779 22 25 17.85 58.71 194.83 0.71
44672.434722223 22 26 18.06 59.03 196.78 0.71
44672.435416667 22 27 18.28 59.36 198.53 0.71
44672.436111112 22 28 18.49 59.69 200.28 0.70
44672.436805556 22 29 18.71 60.01 202.03 0.70
44672.437500001 22 30 18.92 60.34 203.78 0.70
44672.438194445 22 31 19.14 60.66 205.53 0.69
44672.438888890 22 32 19.35 60.99 207.29 0.69
44672.439583334 22 33 19.57 61.32 209.04 0.69
44672.440277779 22 34 19.78 61.64 210.80 0.69
44672.440972223 22 35 20.00 61.97 212.55 0.68
44672.441666667 22 36 20.21 62.29 214.12 0.68
44672.442361112 22 37 20.43 62.62 215.68 0.68
44672.443055556 22 38 20.64 62.94 217.24 0.67
44672.443750001 22 39 20.86 63.27 218.81 0.67
44672.444444445 22 40 21.07 63.59 220.37 0.67
44672.445138890 22 41 21.29 63.92 221.93 0.67
44672.445833334 22 42 21.50 64.24 223.50 0.66
44672.446527779 22 43 21.72 64.56 225.07 0.66
44672.447222223 22 44 21.94 64.89 226.63 0.66
44672.447916667 22 45 22.15 65.21 228.06 0.65
44672.448611112 22 46 22.37 65.53 229.43 0.65
44672.449305556 22 47 22.59 65.86 230.81 0.65
44672.450000001 22 48 22.80 66.18 232.18 0.65
44672.450694445 22 49 23.02 66.50 233.55 0.64
44672.451388890 22 50 23.24 66.82 234.93 0.64
44672.452083334 22 51 23.45 67.14 236.30 0.64
44672.452777779 22 52 23.67 67.47 237.68 0.63
44672.453472223 22 53 23.89 67.79 239.06 0.63
44672.454166667 22 54 24.10 68.11 240.39 0.63
44672.454861112 22 55 24.32 68.43 241.67 0.63
44672.455555556 22 56 24.54 68.75 242.94 0.62
