# realtime, hour, min, alt, baseline, rate, SC
44668.221527778 17 19 65.80 115.05 417.76 0.93
44668.222222222 17 20 65.79 115.13 417.75 0.93
44668.222916667 17 21 65.79 115.20 417.75 0.93
44668.223611111 17 22 65.78 115.27 417.74 0.92
44668.224305556 17 23 65.77 115.35 417.73 0.92
44668.225000000 17 24 65.76 115.42 417.72 0.92
44668.225694445 17 25 65.75 115.49 417.71 0.92
44668.226388889 17 26 65.74 115.56 417.69 0.92
44668.227083333 17 27 65.72 115.63 417.68 0.92
44668.227777778 17 28 65.71 115.70 417.66 0.92
44668.228472222 17 29 65.69 115.77 417.64 0.92
44668.229166667 17 30 65.67 115.84 417.62 0.92
44668.229861111 17 31 65.65 115.91 417.59 0.92
44668.230555556 17 32 65.63 115.98 417.57 0.92
44668.231250000 17 33 65.60 116.04 417.54 0.92
44668.231944445 17 34 65.58 116.11 417.51 0.92
44668.232638889 17 35 65.55 116.17 417.48 0.92
44668.233333333 17 36 65.52 116.24 417.45 0.92
44668.234027778 17 37 65.49 116.30 417.42 0.92
44668.234722222 17 38 65.46 116.36 417.38 0.92
44668.235416667 17 39 65.42 116.43 417.34 0.92
44668.236111111 17 40 65.39 116.49 417.30 0.92
44668.236805556 17 41 65.35 116.55 417.26 0.92
44668.237500000 17 42 65.31 116.61 417.22 0.92
44668.238194445 17 43 65.27 116.67 417.17 0.92
44668.238888889 17 44 65.23 116.73 417.13 0.92
44668.239583333 17 45 65.18 116.79 417.08 0.92
44668.240277778 17 46 65.14 116.84 417.03 0.92
44668.240972222 17 47 65.09 116.90 416.98 0.92
44668.241666667 17 48 65.04 116.96 416.92 0.92
44668.242361111 17 49 65.00 117.01 416.87 0.92
44668.243055556 17 50 64.94 117.07 416.84 0.92
44668.243750000 17 51 64.89 117.12 416.81 0.92
44668.244444445 17 52 64.84 117.18 416.78 0.92
44668.245138889 17 53 64.78 117.23 416.75 0.92
44668.245833333 17 54 64.73 117.28 416.72 0.92
44668.246527778 17 55 64.67 117.34 416.69 0.92
44668.247222222 17 56 64.61 117.39 416.65 0.92
44668.247916667 17 57 64.55 117.44 416.62 0.92
44668.248611111 17 58 64.48 117.49 416.59 0.92
44668.249305556 17 59 64.42 117.54 416.55 0.92
44668.250000000 18 00 64.35 117.59 416.51 0.92
44668.250694445 18 01 64.29 117.63 416.48 0.92
44668.251388889 18 02 64.22 117.68 416.44 0.92
44668.252083333 18 03 64.15 117.73 416.40 0.92
44668.252777778 18 04 64.08 117.78 416.36 0.92
44668.253472222 18 05 64.00 117.82 416.32 0.92
44668.254166667 18 06 63.93 117.87 416.24 0.92
44668.254861111 18 07 63.86 117.91 416.16 0.92
44668.255555556 18 08 63.78 117.96 416.07 0.92
44668.256250000 18 09 63.70 118.00 415.99 0.92
44668.256944445 18 10 63.62 118.04 415.90 0.92
44668.257638889 18 11 63.54 118.09 415.81 0.92
44668.258333333 18 12 63.46 118.13 415.72 0.92
44668.259027778 18 13 63.38 118.17 415.63 0.92
44668.259722222 18 14 63.30 118.21 415.54 0.92
44668.260416667 18 15 63.21 118.25 415.44 0.92
44668.261111111 18 16 63.12 118.29 415.35 0.92
44668.261805556 18 17 63.04 118.33 415.25 0.92
44668.262500000 18 18 62.95 118.37 415.15 0.92
44668.263194445 18 19 62.86 118.41 415.05 0.92
44668.263888889 18 20 62.77 118.45 414.95 0.92
44668.264583334 18 21 62.67 118.48 414.85 0.92
44668.265277778 18 22 62.58 118.52 414.74 0.92
44668.265972222 18 23 62.49 118.56 414.64 0.92
44668.266666667 18 24 62.39 118.59 414.53 0.92
44668.267361111 18 25 62.29 118.63 414.42 0.92
44668.268055556 18 26 62.20 118.66 414.32 0.92
44668.268750000 18 27 62.10 118.70 414.21 0.92
44668.269444445 18 28 62.00 118.73 414.10 0.92
44668.270138889 18 29 61.90 118.76 413.98 0.92
44668.270833334 18 30 61.80 118.80 413.87 0.92
44668.271527778 18 31 61.69 118.83 413.76 0.92
44668.272222222 18 32 61.59 118.86 413.64 0.92
44668.272916667 18 33 61.48 118.89 413.52 0.92
44668.273611111 18 34 61.38 118.92 413.41 0.92
44668.274305556 18 35 61.27 118.95 413.29 0.92
44668.275000000 18 36 61.16 118.98 413.17 0.92
44668.275694445 18 37 61.05 119.01 413.05 0.92
44668.276388889 18 38 60.94 119.04 412.92 0.92
44668.277083334 18 39 60.83 119.07 412.80 0.92
44668.277777778 18 40 60.72 119.10 412.68 0.92
44668.278472222 18 41 60.61 119.12 412.55 0.92
44668.279166667 18 42 60.49 119.15 412.43 0.92
44668.279861111 18 43 60.38 119.18 412.30 0.92
44668.280555556 18 44 60.27 119.20 412.17 0.92
44668.281250000 18 45 60.15 119.23 412.04 0.92
44668.281944445 18 46 60.03 119.25 411.91 0.92
