# realtime, hour, min, alt, baseline, rate, SC
44669.346527778 20 19 10.06 27.79 185.58 0.96
44669.347222223 20 20 10.25 28.17 190.44 0.96
44669.347916667 20 21 10.44 28.55 195.30 0.96
44669.348611112 20 22 10.62 28.93 200.17 0.95
44669.349305556 20 23 10.81 29.31 205.05 0.95
44669.350000000 20 24 11.00 29.69 209.93 0.95
44669.350694445 20 25 11.18 30.07 214.66 0.95
44669.351388889 20 26 11.37 30.45 219.39 0.95
44669.352083334 20 27 11.56 30.83 224.13 0.95
44669.352777778 20 28 11.74 31.21 228.88 0.95
44669.353472223 20 29 11.93 31.59 233.62 0.95
44669.354166667 20 30 12.12 31.97 238.09 0.94
44669.354861112 20 31 12.31 32.35 242.38 0.94
44669.355555556 20 32 12.49 32.73 246.68 0.94
44669.356250000 20 33 12.68 33.11 250.98 0.94
44669.356944445 20 34 12.87 33.49 255.29 0.94
44669.357638889 20 35 13.06 33.87 259.55 0.94
44669.358333334 20 36 13.25 34.25 263.71 0.94
44669.359027778 20 37 13.44 34.63 267.88 0.94
44669.359722223 20 38 13.62 35.00 272.04 0.93
44669.360416667 20 39 13.81 35.38 276.21 0.93
44669.361111112 20 40 14.00 35.76 280.38 0.93
44669.361805556 20 41 14.19 36.14 284.25 0.93
44669.362500001 20 42 14.38 36.52 288.12 0.93
44669.363194445 20 43 14.57 36.90 291.99 0.93
44669.363888889 20 44 14.76 37.27 295.87 0.93
44669.364583334 20 45 14.95 37.65 299.75 0.92
44669.365277778 20 46 15.14 38.03 303.40 0.92
44669.365972223 20 47 15.33 38.40 306.98 0.92
44669.366666667 20 48 15.52 38.78 310.56 0.92
44669.367361112 20 49 15.71 39.16 314.14 0.92
44669.368055556 20 50 15.90 39.53 317.72 0.92
44669.368750001 20 51 16.09 39.91 321.15 0.91
44669.369444445 20 52 16.28 40.28 324.43 0.91
44669.370138889 20 53 16.48 40.65 327.71 0.91
44669.370833334 20 54 16.67 41.03 330.99 0.91
44669.371527778 20 55 16.86 41.40 334.27 0.91
44669.372222223 20 56 17.05 41.77 337.56 0.91
44669.372916667 20 57 17.24 42.15 340.84 0.91
44669.373611112 20 58 17.43 42.52 344.13 0.90
44669.374305556 20 59 17.62 42.89 347.43 0.90
44669.375000001 21 00 17.82 43.26 350.72 0.90
44669.375694445 21 01 18.01 43.63 354.00 0.90
44669.376388889 21 02 18.20 44.00 356.82 0.90
44669.377083334 21 03 18.39 44.37 359.65 0.90
44669.377777778 21 04 18.59 44.74 362.49 0.89
44669.378472223 21 05 18.78 45.11 365.32 0.89
44669.379166667 21 06 18.97 45.48 368.15 0.89
44669.379861112 21 07 19.16 45.85 370.99 0.89
44669.380555556 21 08 19.36 46.22 373.83 0.89
44669.381250001 21 09 19.55 46.58 376.67 0.89
44669.381944445 21 10 19.74 46.95 379.51 0.88
44669.382638889 21 11 19.94 47.32 382.36 0.88
44669.383333334 21 12 20.13 47.68 384.99 0.88
44669.384027778 21 13 20.32 48.05 387.52 0.88
44669.384722223 21 14 20.52 48.41 390.05 0.88
44669.385416667 21 15 20.71 48.78 392.59 0.87
44669.386111112 21 16 20.90 49.14 395.12 0.87
44669.386805556 21 17 21.10 49.50 397.66 0.87
44669.387500001 21 18 21.29 49.86 400.20 0.87
44669.388194445 21 19 21.49 50.23 402.74 0.87
44669.388888889 21 20 21.68 50.59 405.28 0.87
44669.389583334 21 21 21.88 50.95 407.82 0.86
44669.390277778 21 22 22.07 51.31 410.25 0.86
44669.390972223 21 23 22.26 51.67 412.48 0.86
44669.391666667 21 24 22.46 52.03 414.71 0.86
44669.392361112 21 25 22.65 52.38 416.94 0.86
