# realtime, hour, min, alt, baseline, rate, SC
44671.340972223 20 11 10.04 27.73 184.91 0.96
44671.341666667 20 12 10.23 28.11 189.77 0.96
44671.342361112 20 13 10.41 28.50 194.63 0.96
44671.343055556 20 14 10.60 28.88 199.50 0.95
44671.343750000 20 15 10.78 29.26 204.38 0.95
44671.344444445 20 16 10.97 29.64 209.25 0.95
44671.345138889 20 17 11.16 30.02 214.01 0.95
44671.345833334 20 18 11.34 30.40 218.74 0.95
44671.346527778 20 19 11.53 30.78 223.48 0.95
44671.347222223 20 20 11.72 31.16 228.22 0.95
44671.347916667 20 21 11.91 31.54 232.97 0.95
44671.348611112 20 22 12.09 31.92 237.50 0.94
44671.349305556 20 23 12.28 32.30 241.79 0.94
44671.350000000 20 24 12.47 32.68 246.09 0.94
44671.350694445 20 25 12.66 33.06 250.39 0.94
44671.351388889 20 26 12.84 33.44 254.70 0.94
44671.352083334 20 27 13.03 33.82 258.98 0.94
44671.352777778 20 28 13.22 34.19 263.14 0.94
44671.353472223 20 29 13.41 34.57 267.30 0.94
44671.354166667 20 30 13.60 34.95 271.47 0.93
44671.354861112 20 31 13.79 35.33 275.64 0.93
44671.355555556 20 32 13.98 35.71 279.81 0.93
44671.356250000 20 33 14.17 36.09 283.72 0.93
44671.356944445 20 34 14.36 36.47 287.59 0.93
44671.357638889 20 35 14.55 36.84 291.46 0.93
44671.358333334 20 36 14.73 37.22 295.34 0.93
44671.359027778 20 37 14.92 37.60 299.22 0.92
44671.359722223 20 38 15.11 37.98 302.91 0.92
44671.360416667 20 39 15.30 38.35 306.49 0.92
44671.361111112 20 40 15.50 38.73 310.06 0.92
44671.361805556 20 41 15.69 39.10 313.64 0.92
44671.362500001 20 42 15.88 39.48 317.23 0.92
44671.363194445 20 43 16.07 39.85 320.70 0.91
44671.363888889 20 44 16.26 40.23 323.98 0.91
44671.364583334 20 45 16.45 40.60 327.26 0.91
44671.365277778 20 46 16.64 40.98 330.54 0.91
44671.365972223 20 47 16.83 41.35 333.82 0.91
44671.366666667 20 48 17.02 41.72 337.10 0.91
44671.367361112 20 49 17.21 42.10 340.39 0.91
44671.368055556 20 50 17.41 42.47 343.68 0.90
44671.368750001 20 51 17.60 42.84 346.97 0.90
44671.369444445 20 52 17.79 43.21 350.27 0.90
