# hour, min, alt, baseline, rate, SC
20 02 10.10 27.88 186.55 0.96
20 03 10.29 28.26 191.42 0.96
20 04 10.47 28.64 196.28 0.96
20 05 10.66 29.02 201.15 0.95
20 06 10.85 29.40 206.03 0.95
20 07 11.03 29.78 210.88 0.95
20 08 11.22 30.16 215.62 0.95
20 09 11.41 30.54 220.35 0.95
20 10 11.59 30.92 225.09 0.95
20 11 11.78 31.31 229.84 0.95
20 12 11.97 31.69 234.59 0.95
20 13 12.16 32.07 238.96 0.94
20 14 12.34 32.44 243.25 0.94
20 15 12.53 32.82 247.56 0.94
20 16 12.72 33.20 251.86 0.94
20 17 12.91 33.58 256.17 0.94
20 18 13.10 33.96 260.40 0.94
20 19 13.29 34.34 264.56 0.94
20 20 13.47 34.72 268.73 0.93
20 21 13.66 35.10 272.90 0.93
20 22 13.85 35.48 277.07 0.93
20 23 14.04 35.86 281.17 0.93
20 24 14.23 36.23 285.04 0.93
20 25 14.42 36.61 288.92 0.93
20 26 14.61 36.99 292.79 0.93
20 27 14.80 37.37 296.67 0.92
20 28 14.99 37.74 300.55 0.92
20 29 15.18 38.12 304.14 0.92
20 30 15.37 38.50 307.72 0.92
20 31 15.56 38.87 311.29 0.92
20 32 15.75 39.25 314.88 0.92
20 33 15.94 39.62 318.46 0.92
20 34 16.13 40.00 321.83 0.91
20 35 16.32 40.37 325.11 0.91
20 36 16.51 40.75 328.39 0.91
20 37 16.71 41.12 331.67 0.91
20 38 16.90 41.49 334.95 0.91
20 39 17.09 41.87 338.24 0.91
20 40 17.28 42.24 341.53 0.90
20 41 17.47 42.61 344.82 0.90
20 42 17.66 42.98 348.11 0.90
20 43 17.86 43.36 351.41 0.90
20 44 18.05 43.73 354.59 0.90
20 45 18.24 44.10 357.42 0.90
20 46 18.43 44.47 360.25 0.89
20 47 18.63 44.84 363.08 0.89
20 48 18.82 45.20 365.91 0.89
20 49 19.01 45.57 368.75 0.89
20 50 19.20 45.94 371.59 0.89
20 51 19.40 46.31 374.42 0.89
20 52 19.59 46.68 377.27 0.88
20 53 19.78 47.04 380.11 0.88
20 54 19.98 47.41 382.95 0.88
20 55 20.17 47.77 385.52 0.88
20 56 20.36 48.14 388.05 0.88
